WhatsApp;msg
55_189999999;Recebi seu email aqui no sistema, o que ta ocorrendo?
;Boa tarde, preciso que libere meu IP
;Beleza, so me mandar seu numero
;segue o numero do meu ip 199.123.03.265
;continuando
;vamos la
;nao sei
;vou tentar
;chama
;ainda estamos na quarta
;vamos embora
;deu meu horario
;Ola! Como vai?
;E ai, tudo bem?
;Bom dia! Como foi seu fim de semana?
;Boa tarde! Esta livre para conversar um pouco?
;Ei, como vai a familia?
;Estou bem, obrigado! E voce?
;Nao muito, apenas relaxando. E voce?
;Sim, estou livre. O que voce quer conversar?
;Estou ansioso para o nosso proximo encontro!
;Que bom que voce esta se divertindo!
;Voce viu o ultimo episodio de [nome da serie]?
;Nao, eu ainda nao assisti. E bom?
;Sim, e incrivel! Voce precisa ver!
;Eu realmente gostei do seu ponto de vista sobre esse assunto.
;Obrigado, fico feliz que voce tenha gostado.
;Estou um pouco chateado hoje, posso desabafar com voce?
;Claro, estou aqui para ouvir. O que aconteceu?
;Isso e otimo! Parabens por essa conquista!
;Muito obrigado! Significa muito para mim.
;O que voce acha de sairmos para jantar esta semana?
;Adoraria! Que dia voce esta livre?
;Tenho um compromisso na quinta-feira, mas posso na sexta-feira.
;Perfeito, vamos combinar na sexta-feira, entao!
;Que tipo de musica voce tem ouvido ultimamente?
;Tenho me interessado por indie pop. E voce?
;Eu tenho ouvido mais musica classica recentemente.
;Qual e o ultimo livro que voce leu?
;Estou lendo 'O Poder do Habito'. E fascinante!
;Tambem li esse! Realmente muda a perspectiva.
;Voce gostaria de se juntar a mim para um cafe amanha?
;Claro, adoraria! Que horas?
;Estou um pouco ocupado de manha, mas posso as 15h.
;Perfeito, nos encontramos as 15h entao!
;Voce ja visitou aquele novo restaurante na cidade?
;Sim, fui la na semana passada. A comida e incrivel!
;Isso soa maravilhoso! Vamos la juntos algum dia.
;Definitivamente! Podemos marcar algo em breve.
;Como estao os preparativos para a sua viagem?
;Esta tudo indo bem, estou animado para a aventura!
;Nao se esqueca de me trazer um souvenir!
;Com certeza, escolherei algo especial para voce!
;Voce gostaria de assistir a um filme hoje a noite?
;Claro, por que nao? Que tipo de filme voce tem em mente?
;Acho que um suspense seria otimo. Alguma sugestao?
;Ja ouvi falar muito bem de 'Garota Exemplar'. O que acha?
;Otima escolha! Vamos assistir isso, entao.
;Como foi o seu dia hoje?
;Foi corrido, mas produtivo. E o seu?
;Foi tranquilo, mas estou contente que o dia esteja acabando.
;Sextou! Algum plano empolgante para o fim de semana?
;Nada demais planejado, provavelmente vou descansar. E voce?
;Estou pensando em fazer uma trilha no sabado de manha.
;Isso soa revigorante! Espero que tenha um bom tempo.
;Voce ja experimentou o novo cafe que abriu no centro?
;Ainda nao, mas ouvi falar que tem um ambiente aconchegante.
;Sim, e otimo para passar um tempo relaxando.
;Vamos la juntos um dia desses?
;Com certeza! Vamos planejar isso em breve.
;Voce viu as noticias sobre [evento recente]?
;Sim, e bastante preocupante. O que voce acha sobre isso?
;Acho que e importante discutirmos mais sobre isso.
;Completamente de acordo. Devemos estar mais conscientes.
;Qual e o seu lugar favorito para passar as ferias?
;Eu adoro a praia, sempre me sinto renovado la.
;Eu sou mais um amante das montanhas. A paisagem e de tirar o folego!
;Voce gostaria de experimentar o novo restaurante italiano na sexta-feira?
;Claro, estou sempre disposto a experimentar novos lugares. Que horas?
;Vamos fazer reserva para as 19h? Assim poderemos aproveitar o por do sol tambem.
;Isso parece perfeito! Mal posso esperar para experimentar a comida.
;Como foi a sua semana ate agora?
